BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@-m3IG6OF-3!W (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:23:35:773,-65
13-07-2023 17:23:37:775,-65
13-07-2023 17:23:39:776,-65
13-07-2023 17:23:41:777,-65
13-07-2023 17:23:43:776,-65
13-07-2023 17:23:45:777,-65
13-07-2023 17:23:47:777,-65
13-07-2023 17:23:49:777,-65
13-07-2023 17:23:51:778,-66
13-07-2023 17:23:53:777,-69
13-07-2023 17:23:55:778,-69
13-07-2023 17:23:57:779,-70
13-07-2023 17:23:59:779,-70
13-07-2023 17:24:01:779,-70
13-07-2023 17:24:03:779,-68
13-07-2023 17:24:05:778,-69
13-07-2023 17:24:07:779,-71
13-07-2023 17:24:09:780,-70
13-07-2023 17:24:11:781,-67
13-07-2023 17:24:13:783,-67
13-07-2023 17:24:15:781,-68
13-07-2023 17:24:17:781,-69
13-07-2023 17:24:19:780,-69
13-07-2023 17:24:21:781,-69
13-07-2023 17:24:23:782,-68
13-07-2023 17:24:25:783,-67
13-07-2023 17:24:27:783,-67
13-07-2023 17:24:29:783,-67
13-07-2023 17:24:31:785,-66
13-07-2023 17:24:33:786,-65
13-07-2023 17:24:35:787,-65
13-07-2023 17:24:37:787,-66
13-07-2023 17:24:39:784,-67
13-07-2023 17:24:41:786,-67
13-07-2023 17:24:43:787,-67
13-07-2023 17:24:45:786,-67
13-07-2023 17:24:47:786,-67
13-07-2023 17:24:49:787,-68
13-07-2023 17:24:51:786,-68
13-07-2023 17:24:53:787,-67
13-07-2023 17:24:55:786,-66
13-07-2023 17:24:57:787,-66
13-07-2023 17:24:59:788,-66
13-07-2023 17:25:01:788,-66
13-07-2023 17:25:03:787,-66
13-07-2023 17:25:05:788,-66
13-07-2023 17:25:07:787,-66
