BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@;Z4FCXRF-3z* (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:37:27:889,-78
13-07-2023 17:37:29:872,-78
13-07-2023 17:37:31:873,-78
13-07-2023 17:37:33:873,-78
13-07-2023 17:37:35:873,-78
13-07-2023 17:37:37:873,-78
13-07-2023 17:37:39:874,-78
13-07-2023 17:37:41:874,-78
13-07-2023 17:37:43:874,-76
13-07-2023 17:37:45:873,-76
13-07-2023 17:37:47:874,-76
13-07-2023 17:37:49:875,-76
13-07-2023 17:37:51:875,-73
13-07-2023 17:37:53:875,-73
13-07-2023 17:37:55:875,-72
13-07-2023 17:37:57:875,-72
13-07-2023 17:37:59:875,-72
13-07-2023 17:38:01:875,-72
13-07-2023 17:38:03:874,-72
13-07-2023 17:38:05:875,-72
13-07-2023 17:38:07:874,-72
13-07-2023 17:38:09:874,-71
13-07-2023 17:38:11:875,-71
13-07-2023 17:38:13:876,-71
13-07-2023 17:38:15:876,-70
13-07-2023 17:38:17:877,-70
13-07-2023 17:38:19:877,-70
13-07-2023 17:38:21:877,-70
13-07-2023 17:38:23:879,-70
13-07-2023 17:38:25:878,-71
13-07-2023 17:38:27:879,-71
13-07-2023 17:38:29:881,-71
13-07-2023 17:38:31:880,-71
13-07-2023 17:38:33:881,-71
13-07-2023 17:38:35:881,-71
13-07-2023 17:38:37:882,-71
13-07-2023 17:38:39:882,-72
13-07-2023 17:38:41:881,-72
13-07-2023 17:38:43:884,-72
13-07-2023 17:38:45:882,-72
