BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@+*4gdgSF-3zr (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:39:40:224,-75
13-07-2023 17:39:42:223,-78
13-07-2023 17:39:44:223,-78
13-07-2023 17:39:46:224,-78
13-07-2023 17:39:48:223,-78
13-07-2023 17:39:50:224,-78
13-07-2023 17:39:52:225,-78
13-07-2023 17:39:54:225,-79
13-07-2023 17:39:56:224,-80
13-07-2023 17:39:58:224,-80
13-07-2023 17:40:00:225,-80
13-07-2023 17:40:02:226,-81
13-07-2023 17:40:04:225,-81
13-07-2023 17:40:06:227,-81
13-07-2023 17:40:08:227,-81
13-07-2023 17:40:10:228,-81
13-07-2023 17:40:12:227,-81
13-07-2023 17:40:14:228,-81
13-07-2023 17:40:16:228,-82
13-07-2023 17:40:18:228,-82
13-07-2023 17:40:20:228,-82
13-07-2023 17:40:22:228,-82
13-07-2023 17:40:24:229,-82
13-07-2023 17:40:26:228,-82
13-07-2023 17:40:28:229,-82
13-07-2023 17:40:30:229,-82
13-07-2023 17:40:32:230,-82
13-07-2023 17:40:34:231,-81
13-07-2023 17:40:36:231,-81
13-07-2023 17:40:38:232,-81
13-07-2023 17:40:40:233,-81
13-07-2023 17:40:42:233,-81
13-07-2023 17:40:44:234,-82
13-07-2023 17:40:46:234,-82
13-07-2023 17:40:48:235,-82
