BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@;d7ytlcF-3!m (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 18:24:33:222,-79
13-07-2023 18:24:35:222,-77
13-07-2023 18:24:37:223,-77
13-07-2023 18:24:39:223,-77
13-07-2023 18:24:41:224,-76
13-07-2023 18:24:43:224,-76
13-07-2023 18:24:45:224,-75
13-07-2023 18:24:47:224,-75
13-07-2023 18:24:49:224,-75
13-07-2023 18:24:51:225,-75
13-07-2023 18:24:53:227,-75
13-07-2023 18:24:55:225,-75
13-07-2023 18:24:57:225,-74
13-07-2023 18:24:59:227,-73
13-07-2023 18:25:01:227,-73
13-07-2023 18:25:03:227,-73
13-07-2023 18:25:05:228,-73
13-07-2023 18:25:07:230,-73
13-07-2023 18:25:09:228,-74
13-07-2023 18:25:11:229,-74
13-07-2023 18:25:13:229,-74
13-07-2023 18:25:15:230,-75
13-07-2023 18:25:17:231,-75
13-07-2023 18:25:19:231,-75
13-07-2023 18:25:21:231,-75
13-07-2023 18:25:23:231,-75
13-07-2023 18:25:25:231,-75
13-07-2023 18:25:27:231,-75
13-07-2023 18:25:29:231,-72
13-07-2023 18:25:31:232,-72
13-07-2023 18:25:33:232,-72
13-07-2023 18:25:35:231,-72
13-07-2023 18:25:37:232,-72
13-07-2023 18:25:39:232,-72
13-07-2023 18:25:41:232,-72
13-07-2023 18:25:43:233,-72
13-07-2023 18:25:45:235,-72
13-07-2023 18:25:47:232,-72
13-07-2023 18:25:49:232,-72
13-07-2023 18:25:51:233,-72
13-07-2023 18:25:53:234,-72
13-07-2023 18:25:55:235,-72
13-07-2023 18:25:57:235,-72
13-07-2023 18:25:59:236,-72
13-07-2023 18:26:01:236,-72
13-07-2023 18:26:03:236,-72
13-07-2023 18:26:05:236,-72
13-07-2023 18:26:07:239,-72
13-07-2023 18:26:09:239,-72
13-07-2023 18:26:11:238,-72
13-07-2023 18:26:13:239,-72
