BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@-47ytlcF-3!m (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 18:22:15:205,-79
13-07-2023 18:22:17:205,-79
13-07-2023 18:22:19:206,-78
13-07-2023 18:22:21:206,-78
13-07-2023 18:22:23:207,-77
13-07-2023 18:22:25:207,-77
13-07-2023 18:22:27:209,-77
13-07-2023 18:22:29:208,-77
13-07-2023 18:22:31:208,-77
13-07-2023 18:22:33:209,-77
13-07-2023 18:22:35:210,-77
13-07-2023 18:22:37:209,-77
13-07-2023 18:22:39:209,-76
13-07-2023 18:22:41:209,-76
13-07-2023 18:22:43:209,-76
13-07-2023 18:22:45:209,-76
13-07-2023 18:22:47:209,-76
13-07-2023 18:22:49:209,-76
13-07-2023 18:22:51:211,-76
13-07-2023 18:22:53:209,-75
13-07-2023 18:22:55:210,-75
13-07-2023 18:22:57:211,-75
13-07-2023 18:22:59:209,-75
13-07-2023 18:23:01:211,-75
13-07-2023 18:23:03:210,-75
13-07-2023 18:23:05:210,-75
13-07-2023 18:23:07:210,-75
13-07-2023 18:23:09:210,-75
13-07-2023 18:23:11:209,-75
13-07-2023 18:23:13:211,-75
13-07-2023 18:23:15:210,-76
13-07-2023 18:23:17:210,-76
13-07-2023 18:23:19:210,-77
13-07-2023 18:23:21:210,-77
13-07-2023 18:23:23:212,-77
13-07-2023 18:23:25:212,-77
13-07-2023 18:23:27:213,-77
13-07-2023 18:23:29:214,-78
13-07-2023 18:23:31:215,-78
13-07-2023 18:23:33:214,-78
13-07-2023 18:23:35:214,-77
13-07-2023 18:23:37:215,-77
13-07-2023 18:23:39:216,-75
13-07-2023 18:23:41:217,-75
13-07-2023 18:23:43:216,-74
13-07-2023 18:23:45:216,-74
13-07-2023 18:23:47:216,-74
13-07-2023 18:23:49:216,-74
