BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@;t7XScbF-3!$ (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 18:20:29:185,-74
13-07-2023 18:20:31:185,-74
13-07-2023 18:20:33:186,-73
13-07-2023 18:20:35:187,-73
13-07-2023 18:20:37:187,-72
13-07-2023 18:20:39:188,-72
13-07-2023 18:20:41:189,-72
13-07-2023 18:20:43:189,-72
13-07-2023 18:20:45:188,-72
13-07-2023 18:20:47:188,-72
13-07-2023 18:20:49:190,-72
13-07-2023 18:20:51:189,-72
13-07-2023 18:20:53:191,-72
13-07-2023 18:20:55:190,-72
13-07-2023 18:20:57:191,-72
13-07-2023 18:20:59:191,-72
13-07-2023 18:21:01:191,-72
13-07-2023 18:21:03:192,-72
13-07-2023 18:21:05:191,-72
13-07-2023 18:21:07:193,-72
13-07-2023 18:21:09:192,-72
13-07-2023 18:21:11:193,-72
13-07-2023 18:21:13:193,-72
13-07-2023 18:21:15:193,-71
13-07-2023 18:21:17:193,-71
13-07-2023 18:21:19:193,-71
13-07-2023 18:21:21:193,-71
13-07-2023 18:21:23:193,-70
13-07-2023 18:21:25:193,-70
13-07-2023 18:21:27:194,-70
13-07-2023 18:21:29:195,-70
13-07-2023 18:21:31:195,-70
13-07-2023 18:21:33:194,-70
13-07-2023 18:21:35:195,-71
