BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@-K7XScbF-3!$ (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 18:18:41:168,-68
13-07-2023 18:18:43:172,-68
13-07-2023 18:18:45:171,-68
13-07-2023 18:18:47:171,-68
13-07-2023 18:18:49:171,-69
13-07-2023 18:18:51:172,-69
13-07-2023 18:18:53:171,-69
13-07-2023 18:18:55:173,-69
13-07-2023 18:18:57:173,-69
13-07-2023 18:18:59:172,-69
13-07-2023 18:19:01:173,-71
13-07-2023 18:19:03:173,-71
13-07-2023 18:19:05:172,-71
13-07-2023 18:19:07:173,-71
13-07-2023 18:19:09:174,-71
13-07-2023 18:19:11:175,-72
13-07-2023 18:19:13:174,-72
13-07-2023 18:19:15:175,-72
13-07-2023 18:19:17:176,-71
13-07-2023 18:19:19:175,-71
13-07-2023 18:19:21:175,-71
13-07-2023 18:19:23:175,-71
13-07-2023 18:19:25:177,-72
13-07-2023 18:19:27:176,-73
13-07-2023 18:19:29:176,-73
13-07-2023 18:19:31:177,-72
13-07-2023 18:19:33:177,-72
13-07-2023 18:19:35:177,-72
13-07-2023 18:19:37:178,-72
13-07-2023 18:19:39:179,-72
13-07-2023 18:19:41:179,-72
13-07-2023 18:19:43:180,-73
13-07-2023 18:19:45:179,-73
13-07-2023 18:19:47:180,-73
13-07-2023 18:19:49:181,-73
13-07-2023 18:19:51:180,-74
13-07-2023 18:19:53:180,-75
13-07-2023 18:19:55:180,-75
