BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@<G761TaF-3za (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 18:17:05:149,-73
13-07-2023 18:17:07:151,-73
13-07-2023 18:17:09:150,-72
13-07-2023 18:17:11:150,-73
13-07-2023 18:17:13:150,-73
13-07-2023 18:17:15:153,-73
13-07-2023 18:17:17:151,-73
13-07-2023 18:17:19:153,-73
13-07-2023 18:17:21:153,-73
13-07-2023 18:17:23:153,-73
13-07-2023 18:17:25:155,-73
13-07-2023 18:17:27:155,-73
13-07-2023 18:17:29:155,-73
13-07-2023 18:17:31:155,-73
13-07-2023 18:17:33:155,-74
13-07-2023 18:17:35:156,-75
13-07-2023 18:17:37:156,-75
13-07-2023 18:17:39:157,-75
13-07-2023 18:17:41:157,-75
13-07-2023 18:17:43:157,-75
13-07-2023 18:17:45:157,-76
13-07-2023 18:17:47:158,-76
13-07-2023 18:17:49:158,-76
13-07-2023 18:17:51:157,-76
13-07-2023 18:17:53:159,-76
13-07-2023 18:17:55:161,-76
13-07-2023 18:17:57:160,-76
13-07-2023 18:17:59:161,-76
13-07-2023 18:18:01:161,-76
13-07-2023 18:18:03:161,-76
13-07-2023 18:18:05:162,-76
13-07-2023 18:18:07:162,-76
