BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@+R3jhFPF-3!G (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:25:50:203,-69
13-07-2023 17:25:52:204,-69
13-07-2023 17:25:54:205,-71
13-07-2023 17:25:56:204,-75
13-07-2023 17:25:58:204,-75
13-07-2023 17:26:00:205,-75
13-07-2023 17:26:02:205,-76
13-07-2023 17:26:04:205,-76
13-07-2023 17:26:06:206,-76
13-07-2023 17:26:08:208,-76
13-07-2023 17:26:10:206,-76
13-07-2023 17:26:12:207,-76
13-07-2023 17:26:14:205,-76
13-07-2023 17:26:16:206,-76
13-07-2023 17:26:18:207,-76
13-07-2023 17:26:20:207,-76
13-07-2023 17:26:22:208,-76
13-07-2023 17:26:24:207,-77
13-07-2023 17:26:26:208,-77
13-07-2023 17:26:28:207,-78
13-07-2023 17:26:30:208,-78
13-07-2023 17:26:32:208,-78
13-07-2023 17:26:34:208,-76
13-07-2023 17:26:36:208,-76
13-07-2023 17:26:38:208,-75
13-07-2023 17:26:40:210,-73
13-07-2023 17:26:42:209,-73
13-07-2023 17:26:44:210,-73
13-07-2023 17:26:46:209,-73
13-07-2023 17:26:48:209,-74
13-07-2023 17:26:50:211,-73
13-07-2023 17:26:52:212,-73
13-07-2023 17:26:54:212,-72
13-07-2023 17:26:56:213,-72
