BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@;R6#xKZF-3#B (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 18:11:47:799,-76
13-07-2023 18:11:49:800,-76
13-07-2023 18:11:51:801,-76
13-07-2023 18:11:53:800,-76
13-07-2023 18:11:55:800,-76
13-07-2023 18:11:57:804,-76
13-07-2023 18:11:59:801,-76
13-07-2023 18:12:01:801,-76
13-07-2023 18:12:03:803,-77
13-07-2023 18:12:05:802,-77
13-07-2023 18:12:07:802,-77
13-07-2023 18:12:09:804,-77
13-07-2023 18:12:11:803,-77
13-07-2023 18:12:13:804,-77
13-07-2023 18:12:15:803,-77
13-07-2023 18:12:17:803,-77
13-07-2023 18:12:19:803,-77
13-07-2023 18:12:21:803,-77
13-07-2023 18:12:23:803,-78
13-07-2023 18:12:25:803,-78
13-07-2023 18:12:27:803,-78
13-07-2023 18:12:29:803,-78
13-07-2023 18:12:31:804,-78
13-07-2023 18:12:33:804,-78
13-07-2023 18:12:35:806,-78
13-07-2023 18:12:37:806,-78
13-07-2023 18:12:39:806,-78
13-07-2023 18:12:41:805,-78
13-07-2023 18:12:43:806,-78
13-07-2023 18:12:45:806,-77
13-07-2023 18:12:47:807,-77
13-07-2023 18:12:49:809,-77
13-07-2023 18:12:51:807,-77
13-07-2023 18:12:53:808,-77
13-07-2023 18:12:55:808,-76
13-07-2023 18:12:57:809,-76
13-07-2023 18:12:59:810,-76
13-07-2023 18:13:01:810,-76
13-07-2023 18:13:03:810,-76
13-07-2023 18:13:05:810,-76
13-07-2023 18:13:07:812,-77
13-07-2023 18:13:09:811,-77
13-07-2023 18:13:11:812,-77
13-07-2023 18:13:13:813,-77
13-07-2023 18:13:15:813,-77
13-07-2023 18:13:17:815,-77
13-07-2023 18:13:19:815,-77
13-07-2023 18:13:21:816,-77
13-07-2023 18:13:23:816,-77
13-07-2023 18:13:25:817,-77
13-07-2023 18:13:27:817,-77
13-07-2023 18:13:29:817,-77
13-07-2023 18:13:31:817,-77
13-07-2023 18:13:33:817,-77
13-07-2023 18:13:35:817,-77
13-07-2023 18:13:37:817,-77
13-07-2023 18:13:39:819,-77
13-07-2023 18:13:41:819,-77
13-07-2023 18:13:43:820,-77
13-07-2023 18:13:45:820,-77
13-07-2023 18:13:47:819,-77
13-07-2023 18:13:49:820,-77
13-07-2023 18:13:51:820,-78
13-07-2023 18:13:53:820,-78
13-07-2023 18:13:57:016,-78
13-07-2023 18:14:00:966,-78
13-07-2023 18:14:05:935,-78
13-07-2023 18:15:20:484,-78
13-07-2023 18:15:39:125,-78
13-07-2023 18:16:35:144,-78
