BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@;<6aWBYF-3#R (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 18:07:51:763,-70
13-07-2023 18:07:53:763,-70
13-07-2023 18:07:55:763,-70
13-07-2023 18:07:57:764,-70
13-07-2023 18:07:59:764,-70
13-07-2023 18:08:01:764,-73
13-07-2023 18:08:03:764,-73
13-07-2023 18:08:05:764,-73
13-07-2023 18:08:07:764,-73
13-07-2023 18:08:09:766,-73
13-07-2023 18:08:11:765,-73
13-07-2023 18:08:13:766,-75
13-07-2023 18:08:15:767,-75
13-07-2023 18:08:17:767,-75
13-07-2023 18:08:19:768,-75
13-07-2023 18:08:21:768,-77
13-07-2023 18:08:23:767,-79
13-07-2023 18:08:25:768,-80
13-07-2023 18:08:27:767,-80
13-07-2023 18:08:29:768,-80
13-07-2023 18:08:31:768,-80
13-07-2023 18:08:33:769,-81
13-07-2023 18:08:35:769,-81
13-07-2023 18:08:37:769,-81
13-07-2023 18:08:39:770,-81
13-07-2023 18:08:41:769,-81
13-07-2023 18:08:43:771,-81
13-07-2023 18:08:45:771,-81
13-07-2023 18:08:47:770,-81
13-07-2023 18:08:49:771,-81
13-07-2023 18:08:51:770,-81
13-07-2023 18:08:53:772,-81
13-07-2023 18:08:55:772,-81
13-07-2023 18:08:57:773,-81
13-07-2023 18:08:59:772,-81
13-07-2023 18:09:01:773,-81
13-07-2023 18:09:03:773,-81
13-07-2023 18:09:05:774,-81
13-07-2023 18:09:07:775,-81
13-07-2023 18:09:09:775,-81
13-07-2023 18:09:11:775,-81
13-07-2023 18:09:13:776,-81
13-07-2023 18:09:15:777,-81
13-07-2023 18:09:17:777,-81
13-07-2023 18:09:19:777,-80
13-07-2023 18:09:21:777,-80
13-07-2023 18:09:23:779,-80
13-07-2023 18:09:25:778,-80
13-07-2023 18:09:27:779,-80
13-07-2023 18:09:29:778,-80
13-07-2023 18:09:31:779,-80
13-07-2023 18:09:33:779,-80
13-07-2023 18:09:35:779,-80
13-07-2023 18:09:37:780,-80
13-07-2023 18:09:39:779,-80
13-07-2023 18:09:41:780,-80
13-07-2023 18:09:43:779,-80
13-07-2023 18:09:45:779,-80
13-07-2023 18:09:47:780,-80
13-07-2023 18:09:49:780,-80
13-07-2023 18:09:51:781,-80
13-07-2023 18:09:53:781,-80
13-07-2023 18:09:55:781,-80
13-07-2023 18:09:57:780,-80
13-07-2023 18:09:59:781,-80
13-07-2023 18:10:01:780,-80
13-07-2023 18:10:03:780,-81
13-07-2023 18:10:05:782,-81
13-07-2023 18:10:07:782,-81
13-07-2023 18:10:09:782,-81
13-07-2023 18:10:11:784,-80
13-07-2023 18:10:13:782,-80
13-07-2023 18:10:15:783,-80
13-07-2023 18:10:17:783,-80
13-07-2023 18:10:19:783,-80
13-07-2023 18:10:21:784,-80
13-07-2023 18:10:23:784,-80
13-07-2023 18:10:25:784,-80
13-07-2023 18:10:27:784,-80
13-07-2023 18:10:29:785,-80
13-07-2023 18:10:31:785,-80
13-07-2023 18:10:33:786,-80
13-07-2023 18:10:35:786,-80
13-07-2023 18:10:37:786,-81
13-07-2023 18:10:39:786,-81
13-07-2023 18:10:41:786,-81
13-07-2023 18:10:43:786,-81
13-07-2023 18:10:45:786,-81
13-07-2023 18:10:47:786,-81
