BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@+X6aWBYF-3#R (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 18:04:27:733,-73
13-07-2023 18:04:29:733,-73
13-07-2023 18:04:31:733,-73
13-07-2023 18:04:33:733,-74
13-07-2023 18:04:35:733,-74
13-07-2023 18:04:37:732,-76
13-07-2023 18:04:39:733,-76
13-07-2023 18:04:41:733,-76
13-07-2023 18:04:43:733,-77
13-07-2023 18:04:45:733,-77
13-07-2023 18:04:47:733,-77
13-07-2023 18:04:49:733,-77
13-07-2023 18:04:51:732,-77
13-07-2023 18:04:53:736,-77
13-07-2023 18:04:55:734,-77
13-07-2023 18:04:57:733,-77
13-07-2023 18:04:59:733,-77
13-07-2023 18:05:01:734,-77
13-07-2023 18:05:03:734,-79
13-07-2023 18:05:05:735,-80
13-07-2023 18:05:07:734,-80
13-07-2023 18:05:09:735,-80
13-07-2023 18:05:11:735,-80
13-07-2023 18:05:13:736,-80
13-07-2023 18:05:15:734,-80
13-07-2023 18:05:17:736,-80
13-07-2023 18:05:19:734,-80
13-07-2023 18:05:21:735,-80
13-07-2023 18:05:23:736,-80
13-07-2023 18:05:25:737,-80
13-07-2023 18:05:27:736,-80
13-07-2023 18:05:29:737,-80
13-07-2023 18:05:31:737,-80
13-07-2023 18:05:33:736,-80
13-07-2023 18:05:35:738,-80
13-07-2023 18:05:37:738,-80
13-07-2023 18:05:39:738,-80
13-07-2023 18:05:41:738,-80
13-07-2023 18:05:43:738,-80
13-07-2023 18:05:45:737,-80
13-07-2023 18:05:47:738,-80
13-07-2023 18:05:49:738,-80
13-07-2023 18:05:51:739,-80
13-07-2023 18:05:53:741,-80
13-07-2023 18:05:55:741,-80
13-07-2023 18:05:57:740,-80
13-07-2023 18:05:59:740,-80
13-07-2023 18:06:01:741,-80
13-07-2023 18:06:03:741,-80
13-07-2023 18:06:05:741,-80
13-07-2023 18:06:07:742,-80
13-07-2023 18:06:09:743,-81
13-07-2023 18:06:11:744,-82
13-07-2023 18:06:13:744,-82
13-07-2023 18:06:15:745,-82
13-07-2023 18:06:17:744,-82
13-07-2023 18:06:19:745,-82
13-07-2023 18:06:21:745,-82
13-07-2023 18:06:23:745,-82
13-07-2023 18:06:25:745,-82
13-07-2023 18:06:27:746,-82
13-07-2023 18:06:29:746,-81
13-07-2023 18:06:31:747,-81
13-07-2023 18:06:33:747,-81
13-07-2023 18:06:35:748,-81
13-07-2023 18:06:37:750,-81
