BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@-O6952XF-3#h (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 18:01:19:698,-81
13-07-2023 18:01:21:698,-81
13-07-2023 18:01:23:698,-81
13-07-2023 18:01:25:699,-81
13-07-2023 18:01:27:698,-81
13-07-2023 18:01:29:700,-81
13-07-2023 18:01:31:698,-81
13-07-2023 18:01:33:699,-81
13-07-2023 18:01:35:699,-81
13-07-2023 18:01:37:699,-81
13-07-2023 18:01:39:699,-81
13-07-2023 18:01:41:699,-81
13-07-2023 18:01:43:700,-81
13-07-2023 18:01:45:701,-81
13-07-2023 18:01:47:701,-81
13-07-2023 18:01:49:701,-81
13-07-2023 18:01:51:701,-81
13-07-2023 18:01:53:703,-81
13-07-2023 18:01:55:702,-81
13-07-2023 18:01:57:702,-81
13-07-2023 18:01:59:703,-81
13-07-2023 18:02:01:703,-81
13-07-2023 18:02:03:704,-81
13-07-2023 18:02:05:703,-82
13-07-2023 18:02:07:703,-82
13-07-2023 18:02:09:704,-82
13-07-2023 18:02:11:704,-82
13-07-2023 18:02:13:705,-82
13-07-2023 18:02:15:706,-82
13-07-2023 18:02:17:705,-82
13-07-2023 18:02:19:706,-82
13-07-2023 18:02:21:706,-82
13-07-2023 18:02:23:706,-82
13-07-2023 18:02:25:707,-83
13-07-2023 18:02:27:709,-83
13-07-2023 18:02:29:708,-83
13-07-2023 18:02:31:709,-83
13-07-2023 18:02:33:710,-83
13-07-2023 18:02:35:709,-83
13-07-2023 18:02:37:709,-83
13-07-2023 18:02:39:709,-83
13-07-2023 18:02:41:709,-83
13-07-2023 18:02:43:710,-83
13-07-2023 18:02:45:710,-83
13-07-2023 18:02:47:711,-83
13-07-2023 18:02:49:712,-83
13-07-2023 18:02:51:710,-83
