BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@-+5&!^WF-3#x (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:57:51:674,-83
13-07-2023 17:57:53:676,-83
13-07-2023 17:57:55:676,-83
13-07-2023 17:57:57:676,-83
13-07-2023 17:57:59:676,-82
13-07-2023 17:58:01:676,-82
13-07-2023 17:58:03:676,-82
13-07-2023 17:58:05:676,-82
13-07-2023 17:58:07:676,-82
13-07-2023 17:58:09:676,-82
13-07-2023 17:58:11:677,-82
13-07-2023 17:58:13:679,-82
13-07-2023 17:58:15:678,-82
13-07-2023 17:58:17:679,-82
13-07-2023 17:58:19:680,-82
13-07-2023 17:58:21:680,-82
13-07-2023 17:58:23:679,-82
13-07-2023 17:58:25:679,-82
13-07-2023 17:58:27:679,-83
13-07-2023 17:58:29:679,-83
13-07-2023 17:58:31:679,-83
13-07-2023 17:58:33:679,-83
13-07-2023 17:58:35:679,-84
13-07-2023 17:58:37:679,-84
13-07-2023 17:58:39:679,-84
13-07-2023 17:58:41:679,-84
13-07-2023 17:58:43:679,-84
13-07-2023 17:58:45:679,-84
13-07-2023 17:58:47:681,-84
13-07-2023 17:58:49:681,-84
13-07-2023 17:58:51:680,-84
13-07-2023 17:58:53:680,-84
13-07-2023 17:58:55:682,-84
13-07-2023 17:58:57:681,-84
13-07-2023 17:58:59:681,-84
13-07-2023 17:59:01:682,-84
13-07-2023 17:59:03:683,-84
13-07-2023 17:59:05:682,-85
13-07-2023 17:59:07:683,-85
13-07-2023 17:59:09:682,-85
13-07-2023 17:59:11:682,-85
13-07-2023 17:59:13:682,-85
13-07-2023 17:59:15:683,-85
13-07-2023 17:59:17:683,-85
13-07-2023 17:59:19:684,-85
13-07-2023 17:59:21:683,-85
13-07-2023 17:59:23:684,-85
13-07-2023 17:59:25:684,-85
13-07-2023 17:59:27:684,-85
13-07-2023 17:59:29:684,-85
13-07-2023 17:59:31:684,-85
13-07-2023 17:59:33:685,-85
13-07-2023 17:59:35:684,-85
13-07-2023 17:59:37:686,-85
13-07-2023 17:59:39:685,-85
13-07-2023 17:59:41:685,-85
13-07-2023 17:59:43:685,-85
13-07-2023 17:59:45:685,-85
13-07-2023 17:59:47:685,-85
13-07-2023 17:59:49:686,-85
13-07-2023 17:59:51:685,-85
13-07-2023 17:59:53:686,-85
13-07-2023 17:59:55:685,-85
13-07-2023 17:59:57:685,-85
13-07-2023 17:59:59:686,-85
13-07-2023 18:00:01:686,-85
13-07-2023 18:00:03:686,-85
13-07-2023 18:00:05:687,-85
13-07-2023 18:00:07:689,-85
13-07-2023 18:00:09:688,-84
13-07-2023 18:00:11:689,-85
13-07-2023 18:00:13:687,-85
