BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@;15dZ*VF-3z5 (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:54:11:638,-76
13-07-2023 17:54:13:638,-76
13-07-2023 17:54:15:638,-76
13-07-2023 17:54:17:639,-76
13-07-2023 17:54:19:638,-76
13-07-2023 17:54:21:639,-76
13-07-2023 17:54:23:637,-76
13-07-2023 17:54:25:639,-76
13-07-2023 17:54:27:638,-77
13-07-2023 17:54:29:639,-77
13-07-2023 17:54:31:639,-77
13-07-2023 17:54:33:640,-77
13-07-2023 17:54:35:640,-77
13-07-2023 17:54:37:641,-77
13-07-2023 17:54:39:642,-77
13-07-2023 17:54:41:644,-77
13-07-2023 17:54:43:643,-77
13-07-2023 17:54:45:644,-77
13-07-2023 17:54:47:644,-77
13-07-2023 17:54:49:646,-77
13-07-2023 17:54:51:646,-77
13-07-2023 17:54:53:645,-77
13-07-2023 17:54:55:646,-77
13-07-2023 17:54:57:646,-78
13-07-2023 17:54:59:646,-78
13-07-2023 17:55:01:647,-78
13-07-2023 17:55:03:648,-78
13-07-2023 17:55:05:648,-78
13-07-2023 17:55:07:648,-78
13-07-2023 17:55:09:649,-78
13-07-2023 17:55:11:649,-78
13-07-2023 17:55:13:649,-78
13-07-2023 17:55:15:649,-78
13-07-2023 17:55:17:649,-78
13-07-2023 17:55:19:649,-78
13-07-2023 17:55:21:648,-78
13-07-2023 17:55:23:649,-78
13-07-2023 17:55:25:650,-78
13-07-2023 17:55:27:650,-78
13-07-2023 17:55:29:651,-78
13-07-2023 17:55:31:650,-78
13-07-2023 17:55:33:650,-79
13-07-2023 17:55:35:652,-79
13-07-2023 17:55:37:650,-79
13-07-2023 17:55:39:652,-79
13-07-2023 17:55:41:652,-79
13-07-2023 17:55:43:652,-79
13-07-2023 17:55:45:652,-80
13-07-2023 17:55:47:653,-81
13-07-2023 17:55:49:652,-81
13-07-2023 17:55:51:652,-81
13-07-2023 17:55:53:653,-81
13-07-2023 17:55:55:653,-81
13-07-2023 17:55:57:654,-81
13-07-2023 17:55:59:655,-81
13-07-2023 17:56:01:654,-81
13-07-2023 17:56:03:654,-81
13-07-2023 17:56:05:655,-81
13-07-2023 17:56:07:655,-81
13-07-2023 17:56:09:655,-81
13-07-2023 17:56:11:655,-81
13-07-2023 17:56:13:655,-81
13-07-2023 17:56:15:656,-81
13-07-2023 17:56:17:656,-81
13-07-2023 17:56:19:656,-81
13-07-2023 17:56:21:656,-81
13-07-2023 17:56:23:657,-80
13-07-2023 17:56:25:657,-80
13-07-2023 17:56:27:658,-80
13-07-2023 17:56:29:659,-80
13-07-2023 17:56:31:660,-80
13-07-2023 17:56:33:659,-80
13-07-2023 17:56:35:659,-80
13-07-2023 17:56:37:661,-80
13-07-2023 17:56:39:661,-80
13-07-2023 17:56:41:661,-79
13-07-2023 17:56:43:661,-79
13-07-2023 17:56:45:664,-78
13-07-2023 17:56:47:662,-78
13-07-2023 17:56:49:663,-78
13-07-2023 17:56:51:662,-78
13-07-2023 17:56:53:662,-78
