BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@<M5C8yUF-3!l (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:51:11:605,-72
13-07-2023 17:51:13:606,-72
13-07-2023 17:51:15:607,-72
13-07-2023 17:51:17:607,-72
13-07-2023 17:51:19:608,-72
13-07-2023 17:51:21:608,-72
13-07-2023 17:51:23:608,-72
13-07-2023 17:51:25:608,-72
13-07-2023 17:51:27:608,-72
13-07-2023 17:51:29:610,-72
13-07-2023 17:51:31:611,-74
13-07-2023 17:51:33:609,-74
13-07-2023 17:51:35:612,-74
13-07-2023 17:51:37:611,-76
13-07-2023 17:51:39:612,-76
13-07-2023 17:51:41:613,-76
13-07-2023 17:51:43:612,-76
13-07-2023 17:51:45:613,-76
13-07-2023 17:51:47:614,-76
13-07-2023 17:51:49:613,-77
13-07-2023 17:51:51:614,-78
13-07-2023 17:51:53:614,-78
13-07-2023 17:51:55:615,-78
13-07-2023 17:51:57:614,-81
13-07-2023 17:51:59:616,-81
13-07-2023 17:52:01:615,-81
13-07-2023 17:52:03:616,-81
13-07-2023 17:52:05:617,-81
13-07-2023 17:52:07:616,-81
13-07-2023 17:52:09:617,-82
13-07-2023 17:52:11:617,-82
13-07-2023 17:52:13:617,-82
13-07-2023 17:52:15:618,-82
13-07-2023 17:52:17:616,-82
13-07-2023 17:52:19:617,-82
13-07-2023 17:52:21:619,-83
13-07-2023 17:52:23:618,-83
13-07-2023 17:52:25:618,-83
13-07-2023 17:52:27:619,-83
13-07-2023 17:52:29:620,-83
13-07-2023 17:52:31:621,-83
13-07-2023 17:52:33:619,-83
13-07-2023 17:52:35:620,-83
13-07-2023 17:52:37:621,-83
13-07-2023 17:52:39:621,-83
13-07-2023 17:52:41:621,-83
