BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@-;5C8yUF-3zL (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:49:19:643,-70
13-07-2023 17:49:21:593,-71
13-07-2023 17:49:23:594,-71
13-07-2023 17:49:25:593,-71
13-07-2023 17:49:27:593,-72
13-07-2023 17:49:29:593,-72
13-07-2023 17:49:31:594,-72
13-07-2023 17:49:33:594,-72
13-07-2023 17:49:35:596,-70
13-07-2023 17:49:37:595,-70
13-07-2023 17:49:39:595,-70
13-07-2023 17:49:41:596,-70
13-07-2023 17:49:43:594,-70
13-07-2023 17:49:45:596,-70
13-07-2023 17:49:47:595,-70
13-07-2023 17:49:49:595,-70
13-07-2023 17:49:51:596,-70
13-07-2023 17:49:53:597,-70
13-07-2023 17:49:55:597,-70
13-07-2023 17:49:57:597,-70
13-07-2023 17:49:59:599,-70
13-07-2023 17:50:01:597,-70
13-07-2023 17:50:03:598,-70
13-07-2023 17:50:05:598,-70
13-07-2023 17:50:07:599,-70
13-07-2023 17:50:09:600,-70
13-07-2023 17:50:11:599,-72
13-07-2023 17:50:13:599,-72
13-07-2023 17:50:15:599,-74
13-07-2023 17:50:17:600,-74
13-07-2023 17:50:19:598,-74
13-07-2023 17:50:21:599,-74
13-07-2023 17:50:23:599,-74
13-07-2023 17:50:25:599,-74
13-07-2023 17:50:27:599,-74
13-07-2023 17:50:29:599,-74
13-07-2023 17:50:31:599,-74
13-07-2023 17:50:33:600,-74
13-07-2023 17:50:35:599,-74
13-07-2023 17:50:37:600,-76
