BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@;#4*&pTF-3zb (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:46:41:568,-72
13-07-2023 17:46:43:569,-72
13-07-2023 17:46:45:570,-71
13-07-2023 17:46:47:570,-71
13-07-2023 17:46:49:571,-71
13-07-2023 17:46:51:572,-71
13-07-2023 17:46:53:571,-70
13-07-2023 17:46:55:572,-70
13-07-2023 17:46:57:572,-70
13-07-2023 17:46:59:573,-70
13-07-2023 17:47:01:572,-70
13-07-2023 17:47:03:573,-70
13-07-2023 17:47:05:573,-69
13-07-2023 17:47:07:573,-69
13-07-2023 17:47:09:573,-69
13-07-2023 17:47:11:573,-69
13-07-2023 17:47:13:574,-68
13-07-2023 17:47:15:573,-68
13-07-2023 17:47:17:574,-68
13-07-2023 17:47:19:574,-68
13-07-2023 17:47:21:575,-68
13-07-2023 17:47:23:575,-68
13-07-2023 17:47:25:576,-68
13-07-2023 17:47:27:576,-69
13-07-2023 17:47:29:577,-69
13-07-2023 17:47:31:577,-70
13-07-2023 17:47:33:577,-70
13-07-2023 17:47:35:578,-70
13-07-2023 17:47:37:578,-70
13-07-2023 17:47:39:580,-70
13-07-2023 17:47:41:579,-69
13-07-2023 17:47:43:579,-69
13-07-2023 17:47:45:580,-69
13-07-2023 17:47:47:581,-68
13-07-2023 17:47:49:581,-68
13-07-2023 17:47:51:580,-68
13-07-2023 17:47:53:582,-68
13-07-2023 17:47:55:582,-69
13-07-2023 17:47:57:581,-69
13-07-2023 17:47:59:582,-70
13-07-2023 17:48:01:582,-70
13-07-2023 17:48:03:581,-70
13-07-2023 17:48:05:582,-70
13-07-2023 17:48:07:581,-70
13-07-2023 17:48:09:581,-71
13-07-2023 17:48:11:581,-71
13-07-2023 17:48:13:582,-71
13-07-2023 17:48:15:582,-71
13-07-2023 17:48:17:583,-71
13-07-2023 17:48:19:583,-71
13-07-2023 17:48:21:584,-71
13-07-2023 17:48:23:584,-71
13-07-2023 17:48:25:584,-72
13-07-2023 17:48:27:584,-72
13-07-2023 17:48:29:583,-72
13-07-2023 17:48:31:587,-72
