BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@+N4*&pTF-3zb (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:43:09:537,-81
13-07-2023 17:43:11:535,-81
13-07-2023 17:43:13:537,-79
13-07-2023 17:43:15:536,-79
13-07-2023 17:43:17:537,-79
13-07-2023 17:43:19:537,-79
13-07-2023 17:43:21:538,-79
13-07-2023 17:43:23:538,-79
13-07-2023 17:43:25:539,-79
13-07-2023 17:43:27:538,-79
13-07-2023 17:43:29:539,-77
13-07-2023 17:43:31:541,-76
13-07-2023 17:43:33:540,-76
13-07-2023 17:43:35:540,-76
13-07-2023 17:43:37:541,-76
13-07-2023 17:43:39:540,-76
13-07-2023 17:43:41:541,-76
13-07-2023 17:43:43:540,-76
13-07-2023 17:43:45:541,-76
13-07-2023 17:43:47:541,-76
13-07-2023 17:43:49:541,-76
13-07-2023 17:43:51:541,-76
13-07-2023 17:43:53:541,-76
13-07-2023 17:43:55:541,-76
13-07-2023 17:43:57:541,-76
13-07-2023 17:43:59:542,-76
13-07-2023 17:44:01:541,-76
13-07-2023 17:44:03:543,-76
13-07-2023 17:44:05:543,-76
13-07-2023 17:44:07:544,-76
13-07-2023 17:44:09:543,-77
13-07-2023 17:44:11:544,-77
13-07-2023 17:44:13:543,-77
13-07-2023 17:44:15:544,-77
13-07-2023 17:44:17:544,-77
13-07-2023 17:44:19:545,-77
13-07-2023 17:44:21:544,-77
13-07-2023 17:44:23:545,-77
13-07-2023 17:44:25:545,-77
13-07-2023 17:44:27:546,-77
13-07-2023 17:44:29:546,-77
13-07-2023 17:44:31:547,-76
13-07-2023 17:44:33:548,-76
13-07-2023 17:44:35:548,-76
13-07-2023 17:44:37:548,-76
13-07-2023 17:44:39:549,-75
13-07-2023 17:44:41:549,-75
13-07-2023 17:44:43:549,-75
13-07-2023 17:44:45:549,-75
13-07-2023 17:44:47:549,-75
13-07-2023 17:44:49:549,-75
13-07-2023 17:44:51:549,-75
13-07-2023 17:44:53:549,-74
13-07-2023 17:44:55:550,-74
13-07-2023 17:44:57:549,-74
13-07-2023 17:44:59:550,-74
13-07-2023 17:45:01:550,-74
13-07-2023 17:45:03:552,-74
13-07-2023 17:45:05:552,-74
13-07-2023 17:45:07:553,-74
13-07-2023 17:45:09:554,-74
13-07-2023 17:45:11:555,-75
13-07-2023 17:45:13:554,-75
13-07-2023 17:45:15:554,-75
13-07-2023 17:45:17:554,-75
13-07-2023 17:45:19:555,-75
13-07-2023 17:45:21:554,-75
13-07-2023 17:45:23:554,-75
13-07-2023 17:45:25:553,-75
13-07-2023 17:45:27:554,-75
13-07-2023 17:45:29:553,-75
