BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@-E4gdgSF-3zr (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:39:57:509,-69
13-07-2023 17:39:59:510,-69
13-07-2023 17:40:01:510,-69
13-07-2023 17:40:03:511,-70
13-07-2023 17:40:05:511,-71
13-07-2023 17:40:07:510,-71
13-07-2023 17:40:09:511,-71
13-07-2023 17:40:11:511,-72
13-07-2023 17:40:13:511,-72
13-07-2023 17:40:15:512,-72
13-07-2023 17:40:17:511,-72
13-07-2023 17:40:19:512,-72
13-07-2023 17:40:21:511,-72
13-07-2023 17:40:23:512,-72
13-07-2023 17:40:25:511,-72
13-07-2023 17:40:27:512,-72
13-07-2023 17:40:29:511,-72
13-07-2023 17:40:31:512,-72
13-07-2023 17:40:33:511,-72
13-07-2023 17:40:35:513,-72
13-07-2023 17:40:37:513,-72
13-07-2023 17:40:39:512,-73
13-07-2023 17:40:41:513,-73
13-07-2023 17:40:43:513,-73
13-07-2023 17:40:45:515,-73
13-07-2023 17:40:47:514,-73
13-07-2023 17:40:49:515,-73
13-07-2023 17:40:51:516,-73
13-07-2023 17:40:53:517,-73
13-07-2023 17:40:55:516,-73
13-07-2023 17:40:57:517,-73
13-07-2023 17:40:59:516,-73
13-07-2023 17:41:01:516,-72
13-07-2023 17:41:03:516,-72
13-07-2023 17:41:05:515,-72
13-07-2023 17:41:07:516,-72
13-07-2023 17:41:09:517,-72
13-07-2023 17:41:11:517,-72
13-07-2023 17:41:13:517,-72
13-07-2023 17:41:15:520,-72
13-07-2023 17:41:17:518,-72
13-07-2023 17:41:19:518,-72
13-07-2023 17:41:21:520,-72
13-07-2023 17:41:23:520,-72
13-07-2023 17:41:25:520,-72
13-07-2023 17:41:27:519,-72
13-07-2023 17:41:29:520,-72
13-07-2023 17:41:31:521,-73
13-07-2023 17:41:33:520,-73
13-07-2023 17:41:35:520,-73
13-07-2023 17:41:37:521,-74
13-07-2023 17:41:39:522,-74
13-07-2023 17:41:41:520,-74
13-07-2023 17:41:43:521,-74
13-07-2023 17:41:45:521,-74
13-07-2023 17:41:47:521,-74
13-07-2023 17:41:49:522,-74
13-07-2023 17:41:51:523,-74
13-07-2023 17:41:53:524,-74
13-07-2023 17:41:55:523,-74
13-07-2023 17:41:57:524,-74
13-07-2023 17:41:59:525,-74
13-07-2023 17:42:01:525,-74
13-07-2023 17:42:03:527,-74
13-07-2023 17:42:05:527,-74
13-07-2023 17:42:07:527,-74
13-07-2023 17:42:09:526,-72
13-07-2023 17:42:11:527,-71
13-07-2023 17:42:13:525,-71
