BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@-U4FCXRF-3z* (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:36:07:464,-67
13-07-2023 17:36:09:464,-67
13-07-2023 17:36:11:464,-67
13-07-2023 17:36:13:465,-67
13-07-2023 17:36:15:465,-67
13-07-2023 17:36:17:466,-67
13-07-2023 17:36:19:467,-67
13-07-2023 17:36:21:468,-67
13-07-2023 17:36:23:467,-67
13-07-2023 17:36:25:468,-68
13-07-2023 17:36:27:468,-69
13-07-2023 17:36:29:469,-70
13-07-2023 17:36:31:469,-70
13-07-2023 17:36:33:470,-70
13-07-2023 17:36:35:470,-70
13-07-2023 17:36:37:470,-70
13-07-2023 17:36:39:471,-70
13-07-2023 17:36:41:470,-70
13-07-2023 17:36:43:471,-70
13-07-2023 17:36:45:471,-70
13-07-2023 17:36:47:472,-71
13-07-2023 17:36:49:473,-71
13-07-2023 17:36:51:472,-71
13-07-2023 17:36:53:472,-71
13-07-2023 17:36:55:472,-71
13-07-2023 17:36:57:473,-71
13-07-2023 17:36:59:474,-73
13-07-2023 17:37:01:474,-72
13-07-2023 17:37:03:475,-72
13-07-2023 17:37:05:475,-72
13-07-2023 17:37:07:475,-72
13-07-2023 17:37:09:476,-72
13-07-2023 17:37:11:476,-71
13-07-2023 17:37:13:476,-71
13-07-2023 17:37:15:476,-71
13-07-2023 17:37:17:477,-71
13-07-2023 17:37:19:476,-71
13-07-2023 17:37:21:477,-71
13-07-2023 17:37:23:476,-71
13-07-2023 17:37:25:477,-71
13-07-2023 17:37:27:477,-71
13-07-2023 17:37:29:476,-71
13-07-2023 17:37:31:480,-71
13-07-2023 17:37:33:478,-71
13-07-2023 17:37:35:478,-70
13-07-2023 17:37:37:478,-70
13-07-2023 17:37:39:479,-70
13-07-2023 17:37:41:480,-69
13-07-2023 17:37:43:480,-69
13-07-2023 17:37:45:480,-69
13-07-2023 17:37:47:481,-69
13-07-2023 17:37:49:481,-69
13-07-2023 17:37:51:482,-69
13-07-2023 17:37:53:483,-69
13-07-2023 17:37:55:482,-69
13-07-2023 17:37:57:482,-69
13-07-2023 17:37:59:484,-69
13-07-2023 17:38:01:483,-69
13-07-2023 17:38:03:485,-69
13-07-2023 17:38:05:484,-71
13-07-2023 17:38:07:484,-71
13-07-2023 17:38:09:486,-71
13-07-2023 17:38:11:488,-71
13-07-2023 17:38:13:486,-71
13-07-2023 17:38:15:488,-71
13-07-2023 17:38:17:488,-71
13-07-2023 17:38:19:488,-71
13-07-2023 17:38:21:488,-73
13-07-2023 17:38:23:487,-75
13-07-2023 17:38:25:487,-75
13-07-2023 17:38:27:489,-75
13-07-2023 17:38:29:489,-76
13-07-2023 17:38:31:489,-76
13-07-2023 17:38:33:489,-76
13-07-2023 17:38:35:491,-76
13-07-2023 17:38:37:491,-75
13-07-2023 17:38:39:492,-75
13-07-2023 17:38:41:491,-75
