BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@;{3;+OQF-3!0 (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:34:01:444,-74
13-07-2023 17:34:03:443,-74
13-07-2023 17:34:05:443,-74
13-07-2023 17:34:07:444,-74
13-07-2023 17:34:09:444,-74
13-07-2023 17:34:11:444,-74
13-07-2023 17:34:13:444,-74
13-07-2023 17:34:15:443,-74
13-07-2023 17:34:17:443,-75
13-07-2023 17:34:19:445,-75
13-07-2023 17:34:21:445,-75
13-07-2023 17:34:23:445,-75
13-07-2023 17:34:25:447,-75
13-07-2023 17:34:27:447,-75
13-07-2023 17:34:29:447,-75
13-07-2023 17:34:31:447,-75
13-07-2023 17:34:33:447,-75
13-07-2023 17:34:35:449,-75
13-07-2023 17:34:37:447,-75
13-07-2023 17:34:39:448,-75
13-07-2023 17:34:41:449,-75
13-07-2023 17:34:43:451,-75
13-07-2023 17:34:45:449,-76
13-07-2023 17:34:47:450,-76
13-07-2023 17:34:49:449,-76
13-07-2023 17:34:51:450,-76
13-07-2023 17:34:53:451,-76
13-07-2023 17:34:55:451,-76
13-07-2023 17:34:57:451,-76
13-07-2023 17:34:59:452,-77
13-07-2023 17:35:01:453,-77
13-07-2023 17:35:03:453,-77
13-07-2023 17:35:05:452,-77
13-07-2023 17:35:07:453,-77
13-07-2023 17:35:09:454,-77
13-07-2023 17:35:11:453,-77
13-07-2023 17:35:13:453,-76
13-07-2023 17:35:15:455,-76
