BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@-!3jhFPF-3!G (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:27:52:781,-69
13-07-2023 17:27:54:779,-69
13-07-2023 17:27:56:780,-69
13-07-2023 17:27:58:778,-68
13-07-2023 17:28:00:779,-68
13-07-2023 17:28:02:778,-68
13-07-2023 17:28:04:778,-68
13-07-2023 17:28:06:779,-68
13-07-2023 17:28:08:779,-68
13-07-2023 17:28:10:779,-69
13-07-2023 17:28:12:779,-69
13-07-2023 17:28:14:781,-70
13-07-2023 17:28:16:780,-70
13-07-2023 17:28:18:780,-71
13-07-2023 17:28:20:781,-71
13-07-2023 17:28:22:781,-73
13-07-2023 17:28:24:782,-75
13-07-2023 17:28:26:781,-75
13-07-2023 17:28:28:782,-75
13-07-2023 17:28:30:781,-75
13-07-2023 17:28:32:781,-76
13-07-2023 17:28:34:782,-76
13-07-2023 17:28:36:782,-76
13-07-2023 17:28:38:784,-76
13-07-2023 17:28:40:784,-76
13-07-2023 17:28:42:785,-76
13-07-2023 17:28:44:785,-76
13-07-2023 17:28:46:785,-76
13-07-2023 17:28:48:785,-76
13-07-2023 17:28:50:786,-76
13-07-2023 17:28:52:786,-76
13-07-2023 17:28:54:789,-76
13-07-2023 17:28:56:788,-76
13-07-2023 17:28:58:790,-76
13-07-2023 17:29:00:789,-76
13-07-2023 17:29:02:789,-76
13-07-2023 17:29:04:790,-77
13-07-2023 17:29:06:789,-77
13-07-2023 17:29:08:790,-77
13-07-2023 17:29:10:790,-78
13-07-2023 17:29:12:791,-78
