BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@<C3jhFPF-3!G (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:29:57:121,-76
13-07-2023 17:29:59:121,-74
13-07-2023 17:30:01:122,-74
13-07-2023 17:30:03:122,-73
13-07-2023 17:30:05:123,-73
13-07-2023 17:30:07:124,-73
13-07-2023 17:30:09:125,-73
13-07-2023 17:30:11:125,-74
13-07-2023 17:30:13:125,-74
13-07-2023 17:30:15:126,-75
13-07-2023 17:30:17:126,-75
13-07-2023 17:30:19:126,-75
13-07-2023 17:30:21:125,-74
13-07-2023 17:30:23:126,-74
13-07-2023 17:30:25:126,-74
13-07-2023 17:30:27:125,-74
13-07-2023 17:30:29:125,-74
13-07-2023 17:30:31:126,-74
13-07-2023 17:30:33:128,-74
13-07-2023 17:30:35:128,-74
13-07-2023 17:30:37:128,-74
13-07-2023 17:30:39:128,-74
13-07-2023 17:30:41:129,-74
13-07-2023 17:30:43:129,-74
13-07-2023 17:30:45:128,-74
13-07-2023 17:30:47:130,-74
13-07-2023 17:30:49:130,-74
13-07-2023 17:30:51:131,-74
13-07-2023 17:30:53:132,-74
13-07-2023 17:30:55:132,-74
13-07-2023 17:30:57:133,-74
13-07-2023 17:30:59:132,-74
13-07-2023 17:31:01:133,-74
13-07-2023 17:31:03:134,-74
13-07-2023 17:31:05:135,-74
13-07-2023 17:31:07:133,-73
13-07-2023 17:31:09:136,-73
13-07-2023 17:31:11:134,-73
13-07-2023 17:31:13:134,-73
13-07-2023 17:31:15:134,-73
13-07-2023 17:31:17:135,-73
13-07-2023 17:31:19:135,-73
13-07-2023 17:31:21:135,-73
13-07-2023 17:31:23:135,-74
13-07-2023 17:31:25:136,-74
13-07-2023 17:31:27:135,-74
13-07-2023 17:31:29:135,-75
13-07-2023 17:31:31:135,-75
13-07-2023 17:31:33:136,-75
13-07-2023 17:31:35:138,-75
13-07-2023 17:31:37:136,-75
13-07-2023 17:31:39:136,-75
13-07-2023 17:31:41:137,-75
13-07-2023 17:31:43:136,-75
13-07-2023 17:31:45:136,-75
13-07-2023 17:31:47:137,-75
13-07-2023 17:31:49:137,-75
13-07-2023 17:31:51:138,-75
13-07-2023 17:31:53:138,-76
13-07-2023 17:31:55:138,-76
13-07-2023 17:31:57:139,-76
13-07-2023 17:31:59:139,-76
13-07-2023 17:32:01:138,-76
13-07-2023 17:32:03:139,-76
13-07-2023 17:32:05:143,-77
13-07-2023 17:32:07:140,-77
13-07-2023 17:32:09:139,-79
13-07-2023 17:32:11:140,-79
13-07-2023 17:32:13:140,-79
13-07-2023 17:32:15:142,-79
13-07-2023 17:32:17:141,-79
13-07-2023 17:32:19:145,-79
13-07-2023 17:32:21:143,-82
13-07-2023 17:32:23:142,-82
13-07-2023 17:32:25:143,-82
13-07-2023 17:32:27:145,-82
13-07-2023 17:32:29:144,-82
13-07-2023 17:32:31:144,-82
13-07-2023 17:32:33:144,-82
13-07-2023 17:32:35:145,-84
13-07-2023 17:32:37:145,-84
13-07-2023 17:32:39:146,-84
13-07-2023 17:32:41:145,-84
13-07-2023 17:32:43:146,-84
13-07-2023 17:32:45:146,-84
13-07-2023 17:32:47:146,-83
13-07-2023 17:32:49:147,-80
13-07-2023 17:32:51:146,-80
13-07-2023 17:32:53:146,-78
13-07-2023 17:32:55:147,-77
13-07-2023 17:32:57:148,-77
13-07-2023 17:32:59:147,-77
13-07-2023 17:33:01:148,-76
13-07-2023 17:33:03:148,-76
13-07-2023 17:33:05:148,-76
13-07-2023 17:33:07:149,-76
13-07-2023 17:33:09:148,-76
