BLE Scanner Chart Data
Device Name ,5AEA000009~Mq-W!@+P4FCXRF-3z* (iBeacon)
Mac Address ,28:DE:65:6E:4E:16

Time, RSSI
13-07-2023 17:34:19:441,-77
13-07-2023 17:34:21:442,-77
13-07-2023 17:34:23:441,-77
13-07-2023 17:34:25:442,-77
13-07-2023 17:34:27:442,-77
13-07-2023 17:34:29:443,-77
13-07-2023 17:34:31:443,-78
13-07-2023 17:34:33:445,-78
13-07-2023 17:34:35:445,-78
13-07-2023 17:34:37:445,-78
13-07-2023 17:34:39:446,-78
13-07-2023 17:34:41:447,-78
13-07-2023 17:34:43:446,-78
13-07-2023 17:34:45:447,-78
13-07-2023 17:34:47:447,-78
13-07-2023 17:34:49:447,-78
13-07-2023 17:34:51:448,-78
13-07-2023 17:34:53:448,-78
13-07-2023 17:34:55:449,-78
13-07-2023 17:34:57:448,-78
13-07-2023 17:34:59:449,-78
13-07-2023 17:35:01:449,-79
13-07-2023 17:35:03:449,-79
13-07-2023 17:35:05:449,-79
13-07-2023 17:35:07:448,-79
13-07-2023 17:35:09:451,-79
13-07-2023 17:35:11:450,-79
13-07-2023 17:35:13:450,-79
13-07-2023 17:35:15:451,-79
13-07-2023 17:35:17:451,-79
13-07-2023 17:35:19:452,-79
13-07-2023 17:35:21:452,-79
13-07-2023 17:35:23:453,-79
13-07-2023 17:35:25:452,-79
13-07-2023 17:35:27:453,-79
13-07-2023 17:35:29:454,-79
13-07-2023 17:35:31:454,-79
13-07-2023 17:35:33:455,-79
13-07-2023 17:35:35:456,-79
13-07-2023 17:35:37:455,-79
13-07-2023 17:35:39:456,-79
13-07-2023 17:35:41:455,-79
13-07-2023 17:35:43:455,-78
13-07-2023 17:35:45:456,-78
13-07-2023 17:35:47:454,-78
13-07-2023 17:35:49:455,-78
13-07-2023 17:35:51:455,-78
13-07-2023 17:35:53:456,-78
13-07-2023 17:35:55:457,-78
13-07-2023 17:35:57:457,-78
13-07-2023 17:35:59:456,-78
13-07-2023 17:36:01:456,-78
13-07-2023 17:36:03:456,-79
13-07-2023 17:36:05:457,-79
13-07-2023 17:36:07:458,-79
13-07-2023 17:36:09:457,-79
13-07-2023 17:36:11:460,-79
13-07-2023 17:36:13:458,-79
13-07-2023 17:36:15:459,-79
13-07-2023 17:36:17:458,-79
13-07-2023 17:36:19:460,-79
13-07-2023 17:36:21:460,-79
13-07-2023 17:36:23:460,-79
13-07-2023 17:36:25:462,-79
13-07-2023 17:36:27:461,-79
13-07-2023 17:36:29:462,-79
13-07-2023 17:36:31:463,-79
13-07-2023 17:36:33:463,-79
13-07-2023 17:36:35:465,-79
13-07-2023 17:36:37:465,-79
13-07-2023 17:36:39:465,-79
13-07-2023 17:36:41:466,-79
13-07-2023 17:36:43:466,-79
13-07-2023 17:36:45:467,-79
13-07-2023 17:36:47:466,-79
